ID,from_node,to_node,distance,spend_tm
1142,1,43,51829,63
1143,1,44,51257,62
1144,1,45,42016,51
1145,1,46,22924,28
1146,1,47,48963,59
1147,1,48,17380,21
1148,1,49,16727,21
1149,1,50,12141,15
1150,1,51,17092,21
1151,1,52,11605,14
1152,1,53,33220,40
1153,1,54,53781,65
1154,1,55,25235,31
1155,1,56,23932,29
1156,1,57,61836,75
1157,1,58,45768,55
1158,1,59,42447,51
1159,1,60,22130,27
1160,1,61,16691,21
1161,1,62,12413,15
1162,1,63,48651,59
1163,1,64,49977,60
1164,1,65,19002,23
1165,1,66,54530,66
1166,1,67,18433,23
1167,1,68,40395,49
1168,1,69,40229,49
1169,1,70,27963,34
1170,1,71,53249,64
1171,1,72,17516,22
1172,1,73,37834,46
1173,1,74,38653,47
1174,1,75,13026,16
1175,1,76,16043,20
1176,1,77,14842,18
1177,1,78,53765,65
1178,1,79,51149,62
1179,1,80,44921,54
1180,1,81,34348,42
1181,1,82,28997,35
1182,1,83,21813,27
1183,1,84,50806,61
1184,1,85,34576,42
1185,1,86,40983,50
1186,1,87,31048,38
1187,1,88,53156,64
1188,1,89,20248,25
1189,1,90,21350,26
1190,1,91,42590,52
1191,1,92,60253,73
1192,1,93,40309,49
1193,1,94,56260,68
1194,1,95,50920,62
1195,1,96,13834,17
1196,1,97,32671,40
1197,1,98,20579,25
1198,1,99,48457,59
1199,1,100,20319,25
2200,2,0,27489,33
2201,2,1,40191,49
2202,2,3,38731,47
2203,2,4,18314,22
2204,2,5,32724,40
2205,2,6,21434,26
2206,2,7,11735,15
2207,2,8,18667,23
2208,2,9,15003,19
2209,2,10,13585,17
2210,2,11,7543,10
2211,2,12,55155,67
2212,2,13,44468,54
2213,2,14,30517,37
2214,2,15,37121,45
2215,2,16,37679,46
2216,2,17,16489,20
2217,2,18,12574,16
2218,2,19,48657,59
2219,2,20,35431,43
2220,2,21,37090,45
2221,2,22,34274,42
2222,2,23,40414,49
2223,2,24,17357,21
2224,2,25,22956,28
2225,2,26,46823,57
2226,2,27,9130,11
2227,2,28,11752,15
2228,2,29,6876,9
2229,2,30,20463,25
2230,2,31,27366,33
2231,2,32,18444,23
2232,2,33,12945,16
2233,2,34,33875,41
2234,2,35,31227,38
2235,2,36,19378,24
2236,2,37,30794,37
2237,2,38,25592,31
2238,2,39,52435,63
2239,2,40,6394,8
2240,2,41,11790,15
2241,2,42,35244,43
2242,2,43,15872,20
2243,2,44,39277,48
2244,2,45,6030,8
2245,2,46,21487,26
2246,2,47,32225,39
2247,2,48,47158,57
2248,2,49,27683,34
2249,2,50,48179,58
2250,2,51,53139,64
2251,2,52,32816,40
2252,2,53,41723,51
2253,2,54,17796,22
2254,2,55,26599,32
2255,2,56,32835,40
2256,2,57,25876,32
2257,2,58,16705,21
2258,2,59,38861,47
2259,2,60,22290,27
2260,2,61,27712,34
2261,2,62,41635,50
2262,2,63,23652,29
2263,2,64,13999,17
2264,2,65,42509,52
2265,2,66,40006,49
2266,2,67,45154,55
2267,2,68,31994,39
2268,2,69,31824,39
2269,2,70,39292,48
2270,2,71,40638,49
2271,2,72,26897,33
2272,2,73,46338,56
2273,2,74,25477,31
2274,2,75,31397,38
2275,2,76,28378,35
2276,2,77,50873,62
2277,2,78,42147,51
2278,2,79,28507,35
2279,2,80,26955,33
2280,2,81,16644,20
2281,2,82,15410,19
2282,2,83,22580,28
2283,2,84,24990,30
2284,2,85,13012,16
2285,2,86,20094,25
2286,2,87,23652,29
2287,2,88,42216,51
2288,2,89,24175,30
2289,2,90,23060,28
2290,2,91,41502,50
2291,2,92,24283,30
2292,2,93,10823,13
2293,2,94,20281,25
2294,2,95,20851,26
2295,2,96,30591,37
2296,2,97,11723,15
2297,2,98,23824,29
2298,2,99,23177,28
2299,2,100,28729,35
3300,3,0,62041,75
3301,3,1,15214,19
3302,3,2,38731,47
3303,3,4,52787,64
3304,3,5,30114,37
3305,3,6,21478,26
3306,3,7,46220,56
3307,3,8,53139,64
3308,3,9,45243,55
3309,3,10,29316,36
3310,3,11,36949,45
3311,3,12,20624,25
3312,3,13,9933,12
3313,3,14,64959,78
3314,3,15,41343,50
3315,3,16,23744,29
3316,3,17,50979,62
3317,3,18,35063,43
3318,3,19,15955,20
3319,3,20,37992,46
3320,3,21,12939,16
3321,3,22,31664,38
3322,3,23,43471,53
3323,3,24,33547,41
3324,3,25,27353,33
3325,3,26,27769,34
3326,3,27,35252,43
3327,3,28,31156,38
3328,3,29,41364,50
3329,3,30,34026,41
3330,3,31,31853,39
3331,3,32,24463,30
3332,3,33,36276,44
3333,3,34,34619,42
3334,3,35,33781,41
3335,3,36,44960,54
3336,3,37,65244,79
3337,3,38,51310,62
3338,3,39,23344,29
3339,3,40,40616,49
3340,3,41,38626,47
3341,3,42,37787,46
3342,3,43,50339,61
3343,3,44,49777,60
3344,3,45,40518,49
3345,3,46,21420,26
3346,3,47,47479,57
3347,3,48,12616,16
3348,3,49,17837,22
3349,3,50,18465,23
3350,3,51,18607,23
3351,3,52,15394,19
3352,3,53,44258,54
3353,3,54,52284,63
3354,3,55,16331,20
3355,3,56,34960,42
3356,3,57,60346,73
3357,3,58,44276,54
3358,3,59,41383,50
3359,3,60,20623,25
3360,3,61,22593,28
3361,3,62,7104,9
3362,3,63,47163,57
3363,3,64,48482,59
3364,3,65,30024,37
3365,3,66,53052,64
3366,3,67,10613,13
3367,3,68,29385,36
3368,3,69,29218,36
3369,3,70,16955,21
3370,3,71,51771,63
3371,3,72,16011,20
3372,3,73,48873,59
3373,3,74,37162,45
3374,3,75,12528,16
3375,3,76,14536,18
3376,3,77,25417,31
3377,3,78,52287,63
3378,3,79,49645,60
3379,3,80,43414,53
3380,3,81,32852,40
3381,3,82,27493,33
3382,3,83,23973,29
3383,3,84,49302,60
3384,3,85,33078,40
3385,3,86,39491,48
3386,3,87,20035,25
3387,3,88,51677,63
3388,3,89,18740,23
3389,3,90,19846,24
3390,3,91,44022,53
3391,3,92,58760,71
3392,3,93,38813,47
3393,3,94,54764,66
3394,3,95,49418,60
3395,3,96,12326,15
3396,3,97,31171,38
3397,3,98,19077,23
3398,3,99,46969,57
3399,3,100,14197,18
4400,4,0,13365,17
4401,4,1,54279,66
4402,4,2,18314,22
4403,4,3,52787,64
4404,4,5,36474,44
4405,4,6,35561,43
4406,4,7,10784,13
4407,4,8,4553,6
4408,4,9,18738,23
4409,4,10,27707,34
4410,4,11,20071,25
4411,4,12,69287,84
4412,4,13,58602,71
4413,4,14,21159,26
4414,4,15,40865,50
4415,4,16,51804,63
4416,4,17,19350,24
4417,4,18,21966,27
4418,4,19,62789,76
4419,4,20,49006,59
4420,4,21,51224,62
4421,4,22,38024,46
4422,4,23,36694,45
4423,4,24,23491,29
4424,4,25,29649,36
4425,4,26,60950,74
4426,4,27,21772,27
4427,4,28,25876,32
4428,4,29,15643,19
4429,4,30,22970,28
4430,4,31,25137,31
4431,4,32,32569,40
4432,4,33,20728,25
4433,4,34,37620,46
4434,4,35,38494,47
4435,4,36,15652,19
4436,4,37,16688,21
4437,4,38,29329,36
4438,4,39,66565,80
4439,4,40,16397,20
4440,4,41,18376,23
4441,4,42,32080,39
4442,4,43,11445,14
4443,4,44,35558,43
4444,4,45,16490,20
4445,4,46,35611,43
4446,4,47,28504,35
4447,4,48,61294,74
4448,4,49,41807,51
4449,4,50,62309,75
4450,4,51,67272,81
4451,4,52,46942,57
4452,4,53,37997,46
4453,4,54,17665,22
4454,4,55,40730,49
4455,4,56,46954,57
4456,4,57,11764,15
4457,4,58,12978,16
4458,4,59,35139,43
4459,4,60,36417,44
4460,4,61,41834,51
4461,4,62,55767,67
4462,4,63,19927,24
4463,4,64,9084,11
4464,4,65,56634,68
4465,4,66,36289,44
4466,4,67,59289,72
4467,4,68,36430,44
4468,4,69,35572,43
4469,4,70,53429,65
4470,4,71,36921,45
4471,4,72,41021,50
4472,4,73,42613,52
4473,4,74,21750,27
4474,4,75,45524,55
4475,4,76,42505,52
4476,4,77,65002,79
4477,4,78,38431,47
4478,4,79,32246,39
4479,4,80,30695,37
4480,4,81,24151,29
4481,4,82,29533,36
4482,4,83,36700,45
4483,4,84,28727,35
4484,4,85,23930,29
4485,4,86,17498,21
4486,4,87,37785,46
4487,4,88,38500,47
4488,4,89,38302,46
4489,4,90,37185,45
4490,4,91,37782,46
4491,4,92,13887,17
4492,4,93,18190,22
4493,4,94,15660,19
4494,4,95,24587,30
4495,4,96,44719,54
4496,4,97,25843,32
4497,4,98,37947,46
4498,4,99,19453,24
4499,4,100,42860,52
5500,5,0,45570,55
5501,5,1,41123,50
5502,5,2,32724,40
5503,5,3,30114,37
5504,5,4,36474,44
5505,5,6,30916,38
5506,5,7,31394,38
5507,5,8,36743,45
5508,5,9,28816,35
5509,5,10,34393,42
5510,5,11,29396,36
5511,5,12,45990,56
5512,5,13,31390,38
5513,5,14,53433,65
5514,5,15,24880,30
5515,5,16,49699,60
5516,5,17,34560,42
5517,5,18,24363,30
5518,5,19,41884,51
5519,5,20,63971,77
5520,5,21,21379,26
5521,5,22,5750,7
5522,5,23,68968,83
5523,5,24,19578,24
5524,5,25,51498,62
5525,5,26,53718,65
5526,5,27,27808,34
5527,5,28,25666,31
5528,5,29,33824,41
5529,5,30,49007,59
5530,5,31,55912,68
5531,5,32,32670,40
5532,5,33,41487,50
5533,5,34,18151,22
5534,5,35,59769,72
5535,5,36,47926,58
5536,5,37,48878,59
5537,5,38,34877,42
5538,5,39,49279,60
5539,5,40,30547,37
5540,5,41,40333,49
5541,5,42,63790,77
5542,5,43,43719,53
5543,5,44,67832,82
5544,5,45,33901,41
5545,5,46,36851,45
5546,5,47,60777,73
5547,5,48,29104,35
5548,5,49,43798,53
5549,5,50,44399,54
5550,5,51,42712,52
5551,5,52,41344,50
5552,5,53,70271,85
5553,5,54,35868,44
5554,5,55,20109,25
5555,5,56,60938,74
5556,5,57,43954,53
5557,5,58,45251,55
5558,5,59,67413,81
5559,5,60,31165,38
5560,5,61,48561,59
5561,5,62,32928,40
5562,5,63,52201,63
5563,5,64,32073,39
5564,5,65,55981,68
5565,5,66,68563,83
5566,5,67,27099,33
5567,5,68,4931,6
5568,5,69,7790,10
5569,5,70,21239,26
5570,5,71,69195,84
5571,5,72,40854,50
5572,5,73,74886,90
5573,5,74,54024,65
5574,5,75,38477,47
5575,5,76,36345,44
5576,5,77,51356,62
5577,5,78,70705,85
5578,5,79,33205,40
5579,5,80,26968,33
5580,5,81,45186,55
5581,5,82,33795,41
5582,5,83,49950,60
5583,5,84,32867,40
5584,5,85,41553,50
5585,5,86,48640,59
5586,5,87,14292,18
5587,5,88,70774,85
5588,5,89,30944,38
5589,5,90,38528,47
5590,5,91,70055,85
5591,5,92,42359,51
5592,5,93,39365,48
5593,5,94,38355,47
5594,5,95,32989,40
5595,5,96,35791,43
5596,5,97,38575,47
5597,5,98,44340,54
5598,5,99,51726,63
5599,5,100,25031,31
6600,6,0,44734,54
6601,6,1,22985,28
6602,6,2,21434,26
6603,6,3,21478,26
6604,6,4,35561,43
6605,6,5,30916,38
6606,6,7,28956,35
6607,6,8,35882,44
6608,6,9,27974,34
6609,6,10,12044,15
6610,6,11,19679,24
6611,6,12,37912,46
6612,6,13,27223,33
6613,6,14,47717,58
6614,6,15,35297,43
6615,6,16,22982,28
6616,6,17,33713,41
6617,6,18,17789,22
6618,6,19,31415,38
6619,6,20,37239,45
6620,6,21,19843,24
6621,6,22,32442,39
6622,6,23,42202,51
6623,6,24,16269,20
6624,6,25,24761,30
6625,6,26,29587,36
6626,6,27,17980,22
6627,6,28,13881,17
6628,6,29,24098,29
6629,6,30,22265,27
6630,6,31,29166,35
6631,6,32,7188,9
6632,6,33,19012,23
6633,6,34,32049,39
6634,6,35,33032,40
6635,6,36,27704,34
6636,6,37,47998,58
6637,6,38,34038,41
6638,6,39,35194,43
6639,6,40,23348,29
6640,6,41,21363,26
6641,6,42,37044,45
6642,6,43,33084,40
6643,6,44,41062,50
6644,6,45,23252,28
6645,6,46,10131,13
6646,6,47,34015,41
6647,6,48,29909,36
6648,6,49,17077,21
6649,6,50,30938,38
6650,6,51,35895,44
6651,6,52,15581,19
6652,6,53,43519,53
6653,6,54,35018,43
6654,6,55,14993,18
6655,6,56,34207,42
6656,6,57,43090,52
6657,6,58,27019,33
6658,6,59,40650,49
6659,6,60,5056,7
6660,6,61,21836,27
6661,6,62,24392,30
6662,6,63,29911,36
6663,6,64,31219,38
6664,6,65,29263,36
6665,6,66,41789,51
6666,6,67,27906,34
6667,6,68,30163,37
6668,6,69,29994,36
6669,6,70,22043,27
6670,6,71,42422,51
6671,6,72,14135,17
6672,6,73,48134,58
6673,6,74,27276,33
6674,6,75,14162,17
6675,6,76,11144,14
6676,6,77,33635,41
6677,6,78,43930,53
6678,6,79,32370,39
6679,6,80,26137,32
6680,6,81,18449,23
6681,6,82,10221,13
6682,6,83,23220,28
6683,6,84,32030,39
6684,6,85,15812,19
6685,6,86,22233,27
6686,6,87,20809,25
6687,6,88,43999,53
6688,6,89,6940,9
6689,6,90,11808,15
6690,6,91,43290,52
6691,6,92,41500,50
6692,6,93,21549,26
6693,6,94,37501,46
6694,6,95,32148,39
6695,6,96,13355,17
6696,6,97,13903,17
6697,6,98,17616,22
6698,6,99,29716,36
6699,6,100,11488,14
7700,7,0,19951,24
7701,7,1,47716,58
7702,7,2,11735,15
7703,7,3,46220,56
7704,7,4,10784,13
7705,7,5,31394,38
7706,7,6,28956,35
7707,7,8,11136,14
7708,7,9,13658,17
7709,7,10,21123,26
7710,7,11,13487,17
7711,7,12,62702,76
7712,7,13,52016,63
7713,7,14,26238,32
7714,7,15,35783,43
7715,7,16,45220,55
7716,7,17,14270,18
7717,7,18,15382,19
7718,7,19,56203,68
7719,7,20,42422,51
7720,7,21,44638,54
7721,7,22,32941,40
7722,7,23,41772,51
7723,7,24,16907,21
7724,7,25,24305,30
7725,7,26,54365,66
7726,7,27,15188,19
7727,7,28,19292,24
7728,7,29,9060,11
7729,7,30,21813,27
7730,7,31,28718,35
7731,7,32,25985,32
7732,7,33,14293,18
7733,7,34,32538,40
7734,7,35,32575,40
7735,7,36,20731,25
7736,7,37,23270,28
7737,7,38,24248,30
7738,7,39,59980,72
7739,7,40,9813,12
7740,7,41,13139,16
7741,7,42,36596,44
7742,7,43,16525,20
7743,7,44,40637,49
7744,7,45,9907,12
7745,7,46,29027,35
7746,7,47,33582,41
7747,7,48,54708,66
7748,7,49,35223,43
7749,7,50,55724,67
7750,7,51,60687,73
7751,7,52,40358,49
7752,7,53,43076,52
7753,7,54,12585,16
7754,7,55,34145,41
7755,7,56,40371,49
7756,7,57,18346,23
7757,7,58,18057,22
7758,7,59,40218,49
7759,7,60,29832,36
7760,7,61,35250,43
7761,7,62,49182,60
7762,7,63,25007,31
7763,7,64,6466,8
7764,7,65,50050,61
7765,7,66,41367,50
7766,7,67,52703,64
7767,7,68,30661,37
7768,7,69,30489,37
7769,7,70,46843,57
7770,7,71,41999,51
7771,7,72,34437,42
7772,7,73,47692,58
7773,7,74,26830,33
7774,7,75,38939,47
7775,7,76,35921,44
7776,7,77,58417,71
7777,7,78,43509,53
7778,7,79,27164,33
7779,7,80,25613,31
7780,7,81,17993,22
7781,7,82,22949,28
7782,7,83,30117,37
7783,7,84,23646,29
7784,7,85,17347,21
7785,7,86,21446,26
7786,7,87,31199,38
7787,7,88,43578,53
7788,7,89,31718,39
7789,7,90,30600,37
7790,7,91,42860,52
7791,7,92,16751,21
7792,7,93,12172,15
7793,7,94,12748,16
7794,7,95,19506,24
7795,7,96,38134,46
7796,7,97,19260,24
7797,7,98,31363,38
7798,7,99,24532,30
7799,7,100,36274,44
8800,8,0,13012,16
8801,8,1,54631,66
8802,8,2,18667,23
8803,8,3,53139,64
8804,8,4,4553,6
8805,8,5,36743,45
8806,8,6,35882,44
8807,8,7,11136,14
8808,8,9,18549,23
8809,8,10,28060,34
8810,8,11,20424,25
8811,8,12,69641,84
8812,8,13,58956,71
8813,8,14,21350,26
8814,8,15,40676,49
8815,8,16,52157,63
8816,8,17,19161,23
8817,8,18,22319,27
8818,8,19,63142,76
8819,8,20,49359,60
8820,8,21,51578,62
8821,8,22,37835,46
8822,8,23,36884,45
8823,8,24,23844,29
8824,8,25,30001,37
8825,8,26,61303,74
8826,8,27,22125,27
8827,8,28,26230,32
8828,8,29,15996,20
8829,8,30,23322,28
8830,8,31,25489,31
8831,8,32,32922,40
8832,8,33,21081,26
8833,8,34,37431,45
8834,8,35,38847,47
8835,8,36,15842,20
8836,8,37,16336,20
8837,8,38,29139,35
8838,8,39,66919,81
8839,8,40,16750,21
8840,8,41,18728,23
8841,8,42,32433,39
8842,8,43,11635,14
8843,8,44,35749,43
8844,8,45,16843,21
8845,8,46,35964,44
8846,8,47,28694,35
8847,8,48,61647,74
8848,8,49,42160,51
8849,8,50,62663,76
8850,8,51,67626,82
8851,8,52,47295,57
8852,8,53,38187,46
8853,8,54,17476,21
8854,8,55,41084,50
8855,8,56,47307,57
8856,8,57,11411,14
8857,8,58,13167,16
8858,8,59,35329,43
8859,8,60,36770,45
8860,8,61,42187,51
8861,8,62,56121,68
8862,8,63,20117,25
8863,8,64,8894,11
8864,8,65,56987,69
8865,8,66,36479,44
8866,8,67,59643,72
8867,8,68,36784,45
8868,8,69,35383,43
8869,8,70,53783,65
8870,8,71,37111,45
8871,8,72,41374,50
8872,8,73,42803,52
8873,8,74,21940,27
8874,8,75,45877,56
8875,8,76,42858,52
8876,8,77,65356,79
8877,8,78,38621,47
8878,8,79,32056,39
8879,8,80,30505,37
8880,8,81,24504,30
8881,8,82,29886,36
8882,8,83,37053,45
8883,8,84,28538,35
8884,8,85,24283,30
8885,8,86,17851,22
8886,8,87,38138,46
8887,8,88,38690,47
8888,8,89,38656,47
8889,8,90,37538,46
8890,8,91,37972,46
8891,8,92,13697,17
8892,8,93,18543,23
8893,8,94,15470,19
8894,8,95,24398,30
8895,8,96,45072,55
8896,8,97,26196,32
8897,8,98,38300,46
8898,8,99,19642,24
8899,8,100,43213,52
9900,9,0,20944,26
9901,9,1,46744,57
9902,9,2,15003,19
9903,9,3,45243,55
9904,9,4,18738,23
9905,9,5,28816,35
9906,9,6,27974,34
9907,9,7,13658,17
9908,9,8,18549,23
9909,9,10,20134,25
9910,9,11,12497,15
9911,9,12,61721,75
9912,9,13,51036,62
9913,9,14,35709,43
9914,9,15,26333,32
9915,9,16,44233,54
9916,9,17,9945,12
9917,9,18,14394,18
9918,9,19,55222,67
9919,9,20,46236,56
9920,9,21,43659,53
9921,9,22,27513,34
9922,9,23,51242,62
9923,9,24,15920,20
9924,9,25,33765,41
9925,9,26,53379,65
9926,9,27,14199,18
9927,9,28,18305,22
9928,9,29,16090,20
9929,9,30,31274,38
9930,9,31,38180,46
9931,9,32,24997,30
9932,9,33,23753,29
9933,9,34,23089,28
9934,9,35,42036,51
9935,9,36,30196,37
9936,9,37,28544,35
9937,9,38,14792,18
9938,9,39,58997,71
9939,9,40,12812,16
9940,9,41,22599,28
9941,9,42,46059,56
9942,9,43,25989,32
9943,9,44,50108,61
9944,9,45,16167,20
9945,9,46,28039,34
9946,9,47,43051,52
9947,9,48,53729,65
9948,9,49,34234,42
9949,9,50,54742,66
9950,9,51,59706,72
9951,9,52,39372,48
9952,9,53,52542,64
9953,9,54,11254,14
9954,9,55,33163,40
9955,9,56,43203,52
9956,9,57,19344,24
9957,9,58,27521,34
9958,9,59,49687,60
9959,9,60,28846,35
9960,9,61,34261,42
9961,9,62,48200,58
9962,9,63,34473,42
9963,9,64,13858,17
9964,9,65,49062,59
9965,9,66,50839,62
9966,9,67,51725,63
9967,9,68,28866,35
9968,9,69,25235,31
9969,9,70,45866,56
9970,9,71,51471,62
9971,9,72,33449,41
9972,9,73,57157,69
9973,9,74,36293,44
9974,9,75,37954,46
9975,9,76,34935,42
9976,9,77,57434,69
9977,9,78,52982,64
9978,9,79,17710,22
9979,9,80,16160,20
9980,9,81,27453,33
9981,9,82,21960,27
9982,9,83,32215,39
9983,9,84,14191,18
9984,9,85,23819,29
9985,9,86,30909,38
9986,9,87,30218,37
9987,9,88,53050,64
9988,9,89,30732,37
9989,9,90,29612,36
9990,9,91,52330,63
9991,9,92,17747,22
9992,9,93,21632,26
9993,9,94,13741,17
9994,9,95,10050,13
9995,9,96,37149,45
9996,9,97,20840,26
9997,9,98,30373,37
9998,9,99,33998,41
9999,9,100,35292,43
11000,10,0,36877,45
11001,10,1,30818,37
11002,10,2,13585,17
11003,10,3,29316,36
11004,10,4,27707,34
11005,10,5,34393,42
11006,10,6,12044,15
11007,10,7,21123,26
11008,10,8,28060,34
11009,10,9,20134,25
11010,10,11,11835,15
11011,10,12,45760,55
11012,10,13,35072,43
11013,10,14,39881,48
11014,10,15,38769,47
11015,10,16,28291,34
11016,10,17,25870,32
11017,10,18,14228,18
11018,10,19,39263,48
11019,10,20,33772,41
11020,10,21,27692,34
11021,10,22,35916,44
11022,10,23,38740,47
11023,10,24,19009,23
11024,10,25,21295,26
11025,10,26,37433,45
11026,10,27,10785,13
11027,10,28,12923,16
11028,10,29,16256,20
11029,10,30,18800,23
11030,10,31,25702,31
11031,10,32,9058,11
11032,10,33,11284,14
11033,10,34,35521,43
11034,10,35,29566,36
11035,10,36,19865,24
11036,10,37,40161,49
11037,10,38,27247,33
11038,10,39,43042,52
11039,10,40,15505,19
11040,10,41,13521,17
11041,10,42,33579,41
11042,10,43,25245,31
11043,10,44,37601,46
11044,10,45,15410,19
11045,10,46,12100,15
11046,10,47,30553,37
11047,10,48,37759,46
11048,10,49,18297,22
11049,10,50,38786,47
11050,10,51,43744,53
11051,10,52,23427,29
11052,10,53,40055,49
11053,10,54,27176,33
11054,10,55,18465,23
11055,10,56,30740,37
11056,10,57,35250,43
11057,10,58,19179,24
11058,10,59,37189,45
11059,10,60,12902,16
11060,10,61,18368,23
11061,10,62,32240,39
11062,10,63,22072,27
11063,10,64,23378,29
11064,10,65,33122,40
11065,10,66,38329,46
11066,10,67,35755,43
11067,10,68,33636,41
11068,10,69,33467,41
11069,10,70,29893,36
11070,10,71,38962,47
11071,10,72,17510,22
11072,10,73,44670,54
11073,10,74,23811,29
11074,10,75,22008,27
11075,10,76,18990,23
11076,10,77,41482,50
11077,10,78,40470,49
11078,10,79,30161,37
11079,10,80,28607,35
11080,10,81,14983,18
11081,10,82,6025,8
11082,10,83,19752,24
11083,10,84,26645,32
11084,10,85,11352,14
11085,10,86,18429,23
11086,10,87,24281,30
11087,10,88,40539,49
11088,10,89,14786,18
11089,10,90,13674,17
11090,10,91,39829,48
11091,10,92,33660,41
11092,10,93,13708,17
11093,10,94,29660,36
11094,10,95,24304,30
11095,10,96,21201,26
11096,10,97,8378,11
11097,10,98,14440,18
11098,10,99,21877,27
11099,10,100,19336,24
12100,11,0,29240,36
12101,11,1,38450,47
12102,11,2,7543,10
12103,11,3,36949,45
12104,11,4,20071,25
12105,11,5,29396,36
12106,11,6,19679,24
12107,11,7,13487,17
12108,11,8,20424,25
12109,11,9,12497,15
12110,11,10,11835,15
12111,11,12,53408,65
12112,11,13,42721,52
12113,11,14,32268,39
12114,11,15,33779,41
12115,11,16,35931,44
12116,11,17,18238,22
12117,11,18,9231,12
12118,11,19,46910,57
12119,11,20,38774,47
12120,11,21,35343,43
12121,11,22,30933,38
12122,11,23,43759,53
12123,11,24,14015,17
12124,11,25,26300,32
12125,11,26,45075,55
12126,11,27,5901,8
12127,11,28,10004,13
12128,11,29,8626,11
12129,11,30,23807,29
12130,11,31,30710,37
12131,11,32,16696,21
12132,11,33,16288,20
12133,11,34,30533,37
12134,11,35,34570,42
12135,11,36,22723,28
12136,11,37,32545,40
12137,11,38,22249,27
12138,11,39,50687,61
12139,11,40,7873,10
12140,11,41,15134,19
12141,11,42,38588,47
12142,11,43,18516,23
12143,11,44,42622,52
12144,11,45,8703,11
12145,11,46,19738,24
12146,11,47,35570,43
12147,11,48,45411,55
12148,11,49,25934,32
12149,11,50,46431,56
12150,11,51,51392,62
12151,11,52,31068,38
12152,11,53,45067,55
12153,11,54,19545,24
12154,11,55,24851,30
12155,11,56,35741,43
12156,11,57,27627,34
12157,11,58,20049,25
12158,11,59,42206,51
12159,11,60,20542,25
12160,11,61,25963,32
12161,11,62,39888,48
12162,11,63,26996,33
12163,11,64,15749,19
12164,11,65,40761,49
12165,11,66,43351,53
12166,11,67,43407,53
12167,11,68,28654,35
12168,11,69,28483,35
12169,11,70,37546,46
12170,11,71,43984,53
