ID	type	lng                 	lat                 	pack_total_weight	pack_total_volume	first_receive_tm	last_receive_tm
50	2	116.214509 	40.122890 	0.01697	0.026	11:00	12:00
51	2	116.175620 	40.137607 	0.05025	0.262	11:00	13:00
52	2	116.286521 	40.040149 	0.04702	0.3459	09:30	10:30
53	2	116.547921 	40.099246 	0.56436	0.878	13:00	14:00
54	2	116.426204 	39.768165 	0.05526	0.0875	10:00	11:00
55	2	116.198660 	39.916869 	0.09815	0.2089	13:00	15:30
56	2	116.401042 	40.128210 	0.013164	0.3085	11:30	13:00
57	2	116.526786 	39.772772 	0.0878	0.9089	09:30	11:00
58	2	116.509573 	39.903943 	0.03786	0.3001	09:00	12:00
59	2	116.619958 	40.018250 	0.0348	0.2074	10:00	11:00
60	2	116.288546 	39.947152 	0.0252	0.0265	10:00	12:00
61	2	116.358599 	40.049618 	0.0288	0.1882	09:30	10:30
62	2	116.185684 	40.041983 	0.0181	0.103	09:30	12:00
63	2	116.567180 	39.922132 	0.021	0.1357	11:00	13:30
64	2	116.454199 	39.823758 	0.0108	0.0612	11:30	13:00
65	2	116.315443 	40.149423 	0.0134	0.1608	13:00	15:00
66	2	116.697490 	39.969033 	0.0164	0.1584	13:30	14:30
67	2	116.129775 	40.030684 	0.04008	0.1237	09:30	10:30
68	2	116.135035 	39.829379 	0.20093	0.295	13:30	15:30
69	2	116.157269 	39.813850 	0.22901	0.3757	13:00	14:00
70	2	116.108275 	39.961533 	0.03329	0.0594	09:30	10:30
71	2	116.693690 	39.977631 	0.02872	0.0458	11:30	13:00
72	2	116.318280 	40.011351 	0.02904	0.0432	11:00	12:00
73	2	116.551723 	40.137788 	0.0526	0.06	11:00	12:00
74	2	116.519285 	39.975288 	0.3765	0.253	13:30	15:30
75	2	116.278044 	40.020899 	0.01908	0.0726	13:30	15:00
76	3	116.152113	39.868443	-	-	-	-
77	3	116.22805	40.011914	-	-	-	-
78	3	116.281423	39.776693	-	-	-	-
79	3	116.382519	39.97743	-	-	-	-
80	3	116.356102	39.93375	-	-	-	-
81	3	116.459988	40.011462	-	-	-	-
82	3	116.140443	40.038863	-	-	-	-
83	3	116.457361	39.840036	-	-	-	-
84	3	116.222633	39.977565	-	-	-	-
85	3	116.202066	40.143993	-	-	-	-
86	3	116.588989	40.057086	-	-	-	-
87	3	116.526879	39.817878	-	-	-	-
88	3	116.503597	39.90286	-	-	-	-
89	3	116.443108	39.938899	-	-	-	-
90	3	116.654835	39.901081	-	-	-	-
91	3	116.570247	40.11567	-	-	-	-
92	3	116.581585	39.807587	-	-	-	-
93	3	116.63199	39.982092	-	-	-	-
94	3	116.332306	39.779971	-	-	-	-
95	3	116.126923	39.733712	-	-	-	-
96	3	116.323987	39.927989	-	-	-	-
97	3	116.613044	39.9385	-	-	-	-
98	3	116.477402	39.987549	-	-	-	-
99	3	116.408934	39.921871	-	-	-	-
100	3	116.168921	39.872391	-	-	-	-
